"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Story Name: To validate username label on home page","0","0","1","0","0"
"","","Story Name: verifying search company input field is enabled on signup page","0","0","1","0","0"
"","","Story Name: To click on screens link on home page","0","0","1","0","0"
"","","Story Name: To check home page title","1","0","0","0","0"
"","","Story Name: To validate username label on screens page","0","0","1","0","0"
"","","Story Name: To click on create screen link on screens page","0","0","1","0","0"
"","","Story Name: verifying create account button text on signup page","0","0","1","0","0"
"","","Story Name: To check screener logo on login page","0","0","1","0","0"
"","","Story Name: To verify title of signup page","0","0","1","0","0"
"","","Story Name: To validate create screen link text on screens page","0","0","1","0","0"
"","","Story Name: To check account login function","0","0","1","0","0"
"","","Story Name: To check login page title","1","0","0","0","0"
"","","Story Name: filling create account form on signup page","0","0","1","0","0"
"","","Story Name: To verify title of screens page","0","0","1","0","0"
